t,year,market_units,share_nominal,share_effective,sales_units,asp_gbp,revenue_gbp,lost_demand_units,alloc_Tesla,alloc_BMW,alloc_Mercedes,alloc_Audi
25,2026,17000.0,0.0,0.0,0.0,116335.6644942236,0.0,226.66666666666666,39.78,17.68,14.733333333333334,11.786666666666667
26,2026,17000.0,0.0,0.0,0.0,119600.65204472441,0.0,340.0,59.67000000000001,26.52,22.1,17.68
27,2026,17000.0,0.0,0.0,0.0,114525.64518944675,0.0,453.3333333333333,79.56,35.36,29.46666666666667,23.573333333333334
28,2026,17000.0,0.0,0.0,0.0,115851.47390481057,0.0,566.6666666666666,99.45,44.2,36.833333333333336,29.466666666666665
29,2026,17000.0,0.0,0.0,0.0,122196.58743890947,0.0,680.0,119.34000000000002,53.04,44.2,35.36
30,2026,17000.0,0.0,0.0,0.0,122937.14587089382,0.0,793.3333333333334,139.23000000000002,61.88,51.56666666666668,41.25333333333334
31,2026,17000.0,0.0,0.009333333333333332,158.66666666666666,125610.11678921053,19930138.530554738,906.6666666666666,159.12,70.72,58.93333333333334,47.14666666666667
32,2026,17000.0,0.006666666666666666,0.016,272.0,117909.90429765782,32071493.968962926,906.6666666666666,159.12,70.72,58.93333333333334,47.14666666666667
33,2026,17000.0,0.013333333333333332,0.022666666666666665,385.3333333333333,118445.51647241843,45641005.680705234,906.6666666666666,159.12,70.72,58.93333333333334,47.14666666666667
34,2026,17000.0,0.02,0.029333333333333333,498.6666666666667,119634.6697353097,59657821.97467444,906.6666666666666,159.12,70.72,58.93333333333334,47.14666666666667
35,2026,17000.0,0.026666666666666665,0.036,612.0,116273.65630901142,71159477.66111499,906.6666666666667,159.12000000000003,70.72000000000001,58.933333333333344,47.146666666666675
36,2027,14166.666666666666,0.03333333333333333,0.044533333333333334,630.8888888888889,115559.05806402565,72904925.74305974,661.1111111111111,116.025,51.56666666666666,42.97222222222223,34.37777777777778
37,2027,14166.666666666666,0.04,0.0512,725.3333333333334,119708.45911471121,86828535.67787053,566.6666666666666,99.45,44.2,36.833333333333336,29.466666666666665
38,2027,14166.666666666666,0.04666666666666667,0.05786666666666667,819.7777777777778,116722.91218861061,95686849.56972991,472.2222222222222,82.875,36.83333333333333,30.694444444444446,24.555555555555554
39,2027,14166.666666666666,0.05333333333333333,0.06453333333333333,914.2222222222222,122037.76793619012,111569639.3976636,377.7777777777778,66.30000000000001,29.46666666666667,24.55555555555556,19.64444444444445
40,2027,14166.666666666666,0.06,0.0712,1008.6666666666666,119245.82302646797,120279286.82603069,283.33333333333337,49.72500000000001,22.1,18.41666666666667,14.733333333333336
41,2027,14166.666666666666,0.06666666666666667,0.07786666666666667,1103.111111111111,123992.13835269406,136777105.50728297,188.8888888888889,33.150000000000006,14.733333333333334,12.27777777777778,9.822222222222225
42,2027,14166.666666666666,0.07333333333333333,0.08453333333333334,1197.5555555555554,122403.18122402698,146584609.69250697,94.44444444444446,16.575000000000003,7.366666666666667,6.13888888888889,4.911111111111112
43,2027,14166.666666666666,0.08,0.08,1133.3333333333333,117748.39969658449,133448186.32279573,0.0,0.0,0.0,0.0,0.0
44,2027,14166.666666666666,0.08,0.08,1133.3333333333333,123987.11761674241,140518733.29897472,0.0,0.0,0.0,0.0,0.0
45,2027,14166.666666666666,0.08,0.08,1133.3333333333333,123657.17228996163,140144795.2619565,0.0,0.0,0.0,0.0,0.0
46,2027,14166.666666666666,0.08,0.08,1133.3333333333333,118649.7405483621,134469705.95481038,0.0,0.0,0.0,0.0,0.0
47,2027,14166.666666666666,0.08,0.08,1133.3333333333333,117459.93724716293,133121262.21345131,0.0,0.0,0.0,0.0,0.0
